STA_ID,LONG,LAT,SEASON,Date,THG_Fish,AFDW_Floc,AFDW_Soil,Alk_Phos_SW,Bulk_Dens_Floc,Bulk_Dens_Soil,CHLA_SW,CL_SW,COND,DO,Floc_Depth_ft,H2S_PW,MEHG_epi_peri,MEHG_Floc,MEHG_Peri_AVG,MEHG_soil,MEHG_soil_peri,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,PH_soil,PH_SW,REDOX_PW,REDOX_SW,SO4_soil,SO4_SW,Soil_Thickness_FT,Sol_Reac_Phos_PW,Sol_Reac_Phos_SW,TEMP,THG_epi_peri,THG_floc,THG_peri_AVG,THG_peri_soil,THG_soil,THG_SW,TOC_SW,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Nitrogen_SW,Tot_Phos_floc,Tot_Phos_soil,Tot_Phos_SW,TURB,Wat_Depth_ft
M045,-80.496545,26.114635,D,4/8/1995,138.120000,,39.170000,1.470000,,0.280000,,,596.000000,10.310000,,,2.400000,,1.280000,0.300000,0.160000,0.389000,,,,,7.800000,112.000000,,140.000000,16.000000,1.000000,,,22.610000,24.600000,,79.055000,133.510000,50.000000,2.690000,23.570000,,,,,230.190000,32.240000,0.470000,3.000000
M046,-80.80673,26.001602,D,4/8/1995,289.670000,,79.110000,1.890000,,0.110000,,,371.000000,8.040000,,,7.870000,,8.505000,0.600000,9.140000,1.400000,,,,,7.670000,200.500000,,370.000000,2.000000,1.600000,,,28.830000,,,94.920000,94.920000,180.000000,2.830000,19.440000,,,,,430.060000,31.230000,1.890000,1.500000
M018,-80.403419,26.174136,D,4/8/1995,146.670000,,88.270000,1.940000,,0.130000,,,905.000000,5.620000,,,3.260000,,3.260000,1.140000,,2.170000,,,,,7.250000,118.500000,,320.000000,34.000000,7.000000,,,24.740000,54.740000,,54.740000,,160.000000,4.680000,32.920000,,,,,359.560000,18.080000,1.230000,2.200000
M041,-80.782377,26.058809,D,4/8/1995,510.420000,,86.410000,3.160000,,0.090000,,,373.000000,5.640000,,,12.020000,,9.605000,0.960000,7.190000,1.710000,,,,,7.280000,212.000000,,440.000000,2.000000,2.200000,,,26.330000,71.520000,,262.300000,453.080000,130.000000,3.200000,20.930000,,,,,421.800000,15.190000,3.250000,1.000000
M038,-80.530389,26.148389,D,4/9/1995,96.960000,,70.020000,1.450000,,0.170000,,,418.000000,4.270000,,,10.320000,,10.320000,0.180000,,0.858000,,,,,7.330000,205.500000,,210.000000,3.000000,3.100000,,,23.390000,70.170000,,70.170000,,120.000000,2.620000,17.690000,,,,,247.030000,15.110000,1.370000,2.900000
M048,-80.666522,26.018897,D,4/9/1995,441.900000,,90.630000,0.950000,,0.100000,,,412.000000,1.950000,,,11.800000,,11.800000,0.900000,,1.030000,,,,,7.140000,36.500000,,370.000000,4.900000,3.000000,,,22.700000,45.920000,,45.920000,,210.000000,2.730000,17.520000,,,,,620.680000,33.890000,0.830000,2.000000
M037,-80.604999,26.153595,D,4/9/1995,390.180000,,85.650000,0.950000,,0.120000,,,718.000000,2.100000,,,11.040000,,11.040000,0.700000,,0.567000,,,,,7.300000,211.300000,,320.000000,28.000000,3.300000,,,24.520000,65.900000,,65.900000,,150.000000,1.420000,33.150000,,,,,555.940000,17.900000,0.710000,1.500000
M047,-80.750056,25.996111,D,4/9/1995,461.150000,,88.010000,1.640000,,0.080000,,,323.000000,2.090000,,,,,,2.320000,,0.546000,,,,,7.180000,189.000000,,440.000000,2.000000,3.000000,,,22.720000,,,,,270.000000,2.670000,15.570000,,,,,632.850000,28.210000,3.690000,1.400000
M033,-80.587625,26.23122,D,4/9/1995,138.400000,,56.410000,0.440000,,0.230000,,,655.000000,2.100000,,,,,,0.710000,,0.280000,,,,,7.210000,132.500000,,150.000000,15.000000,1.100000,,,23.610000,,,,,83.000000,1.490000,24.970000,,,,,978.280000,14.030000,0.620000,1.000000
M040,-80.857953,26.037993,D,4/9/1995,190.000000,,31.120000,0.700000,,0.290000,,,291.000000,4.870000,,,,,,0.110000,,0.154000,,,,,7.450000,197.300000,,130.000000,2.000000,1.600000,,,25.790000,,,,,74.000000,1.730000,15.260000,,,,,249.410000,10.460000,0.730000,1.300000
