STA_ID,LONG,LAT,SEASON,Date,THG_Fish,Floc_Depth_ft,AFDW_Floc,MEHG_Floc,THG_floc,Tot_Phos_floc,Bulk_Dens_Floc,Soil_Thickness_FT,AFDW_Soil,Bulk_Dens_Soil,PH_soil,SO4_soil,MEHG_soil,THG_soil,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Phos_soil,Wat_Depth_ft,COND_SW,DO_SW,TEMP_SW,PH_SW,TURB_SW,REDOX_SW,Alk_Phos_SW,CHLA_SW,CL_SW,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,SO4_SW,Sol_Reac_Phos_SW,THG_SW,TOC_SW,Tot_Nitrogen_SW,Tot_Phos_SW,REDOX_PW,H2S_PW,Sol_Reac_Phos_PW,MEHG_Peri_AVG,THG_epi_peri
M007,-80.3777,26.44291,D,4/10/1995,305.63,,,,,,,8.7,91.42,0.05,,300,1.89,150,,,442.91,2,133,4.49,27.66,7.13,1.33,,1.97,,,1.88,,,,2,,2.42,19.75,,9.77,206.7,,,,
M026,-80.800803,26.260353,D,4/10/1995,334.37,,,,,,,1.9,28.82,0.36,,66,0.43,45,,,253.43,0.3,413,8.71,28.85,7.22,1.79,,0.51,,,0.38,,,,7,,2.55,22.52,,16.28,142.5,,,,
M023,-80.759782,26.31586,D,4/10/1995,12.15,,,,,,,0.5,31.16,0.21,,240,0.27,35,,,1701.82,0.4,1134,4.74,31.61,7.33,6.8,,0.06,,,0.406,,,,41,,1.82,45.37,,144.46,,,,,
M064,-80.668377,25.833192,D,4/11/1995,190.82,,,,,,,4.7,90.36,0.09,,210,0.98,210,,,616.87,3.6,431,5.41,24.97,7.6,2.26,,2.18,,,0.711,,,,8.5,,2.09,23.57,,35.03,179.5,,,1.5,508.45
M009,-80.300395,26.374154,D,4/11/1995,96.48,,,,,,,6.1,93.52,0.05,,340,4.88,140,,,420.2,1.8,78.1,1.28,23.48,6.25,2.82,,1.49,,,0.578,,,,2,,1.62,15.12,,29.3,160,,,9.575,48.74
M008,-80.282978,26.45778,D,4/11/1995,78.24,,,,,,,8.1,93.8,0.06,,290,1.58,160,,,313.54,1.3,88.4,3.51,24.03,6.27,7.26,,3.08,,,0.43,,,,2,,2.7,23.45,,11.78,115,,,0.795,65.37
M024,-80.675252,26.324973,D,4/11/1995,,,,,,,,3.8,82.43,0.19,,95,2.11,110,,,550.77,0,,,,,,,,,,,,,,,,,,,,167.7,,,,
M006,-80.254594,26.497556,D,4/11/1995,203.18,,,,,,,6.3,94.3,0.06,,320,0.63,140,,,281.07,1.1,232,5.12,24.68,6.7,12.62,,2.44,,,0.989,,,,2,,3.1,26.69,,15.73,108,,,5.295,78.22
M025,-80.630177,26.329517,D,4/11/1995,,,,,,,,1.9,82.9,0.22,,92,3.51,110,,,789.91,0,,,,,,,,,,,,,,,,,,,,224,,,,
M028,-80.634542,26.272337,D,4/11/1995,157.38,,,,,,,0.4,9.79,0.6,,260,0.08,33,,,1224.89,2.8,743,2.01,24.47,7.24,1.01,,0.3,,,0.746,,,,21,,2.17,31.59,,15.73,182.5,,,,
M005,-80.32611,26.517901,D,4/11/1995,149.09,,,,,,,7.9,94.28,0.07,,280,9.47,180,,,291.25,1.2,98.8,4.14,25.73,5.98,14.69,,3.97,,,1.24,,,,2,,4.87,24.89,,27.8,104.3,,,6.055,70.79
M004,-80.429953,26.502504,D,4/11/1995,273.15,,,,,,,7.6,89.26,0.09,,240,,170,,,411.31,1.2,217,2.45,23.89,6.65,2.71,,1.01,,,1.52,,,,2,,3.15,19.47,,16.97,-24,,,4.61,34.07
M003,-80.314096,26.562433,D,4/11/1995,195.89,,,,,,,12,93.99,0.06,,350,2.15,150,,,309.42,0.8,171,1.58,28.2,6.2,17.51,,3.49,,,1.94,,,,2,,6.88,37.97,,28.21,168,,,11.945,83.94
